generazione,dna,tempo,accuracy,fitness,fitness_normalizzata
1,"[3, 29, 2, 72]",309.36516404151917,0.7347000241279602,0.29500440021520236,0.8788620344629458
1,"[4, 10, 1, 154]",214.42545199394226,0.7127000093460083,0.3057123683222805,0.9738995903409624
1,"[10, 30, 1, 176]",436.65039682388306,0.7896000146865845,0.29907575024721217,0.9149969157305067
1,"[8, 20, 2, 102]",363.8600609302521,0.7648000121116638,0.29864100217638934,0.9111383504396394
1,"[7, 25, 2, 183]",392.2168321609497,0.8004999756813049,0.30865312528544747,1.0
1,"[9, 31, 4, 231]",561.1328601837158,0.7555000185966492,0.27482064836377124,0.6997230582139935
1,"[6, 12, 3, 107]",348.36666107177734,0.6877999901771545,0.27057045282237335,0.6620008505814272
1,"[7, 21, 3, 86]",428.25595211982727,0.7411999702453613,0.2816426684213049,0.7602712505447345
1,"[9, 8, 5, 64]",450.09264087677,0.5199999809265137,0.1959822131586446,0.0
1,"[7, 14, 2, 73]",344.43741488456726,0.7396000027656555,0.2915127484325607,0.847872210055453
1,"[3, 19, 2, 265]",336.4996371269226,0.7078999876976013,0.28013624920145924,0.746901169559233
1,"[3, 13, 4, 231]",365.69775009155273,0.6969000101089478,0.27189495142760317,0.6737563123969772
1,"[8, 18, 5, 230]",529.2817661762238,0.6948999762535095,0.25513210343602605,0.524979244073329
1,"[5, 21, 3, 64]",416.31499099731445,0.7397000193595886,0.2823905446916038,0.766908955487224
1,"[3, 30, 1, 280]",341.413049697876,0.6310999989509583,0.24912365384493892,0.47165181929553845
1,"[6, 21, 1, 316]",344.40337204933167,0.7585999965667725,0.29900663974059716,0.9143835319803402
1,"[7, 23, 3, 83]",476.08809185028076,0.7548999786376953,0.28192237881214655,0.762753793603646
1,"[10, 14, 3, 130]",459.35708713531494,0.6276999711990356,0.23578681587447356,0.35328197814740137
1,"[8, 26, 2, 132]",461.5766222476959,0.7985000014305115,0.29970980884467774,0.9206244427070521
1,"[10, 31, 3, 274]",611.5454580783844,0.7009000182151794,0.2515406214727189,0.49310338636069045
2,"[7, 23, 1, 154]",388.72101306915283,0.8026999831199646,0.30996609470991676,1.254560067845119
2,"[3, 21, 3, 64]",391.4225687980652,0.6863999962806702,0.2647488444672894,0.5255138911073385
2,"[3, 24, 2, 265]",384.4692029953003,0.7297999858856201,0.2823361985478509,0.8090780880137521
2,"[5, 12, 3, 107]",376.1162312030792,0.7181000113487244,0.27883891421779294,0.7526907191199651
2,"[10, 14, 3, 86]",479.69525504112244,0.6223999857902527,0.23215517087242185,0.0
2,"[7, 21, 2, 316]",438.39972591400146,0.7427999973297119,0.28116444802459917,0.7901857353279215
2,"[8, 29, 2, 72]",520.8657109737396,0.7991999983787537,0.2941776485774121,1.0
2,"[8, 21, 3, 64]",526.8730599880219,0.7235000133514404,0.26582592508274844,0.5428798631760804
2,"[8, 10, 1, 154]",374.08259773254395,0.7289000153541565,0.28329157435443414,0.8244817907024365
2,"[3, 30, 1, 64]",405.0059311389923,0.7537999749183655,0.2890934376788325,0.918026317446352
2,"[7, 23, 3, 83]",593.3756449222565,0.7786999940872192,0.28078161402323915,0.7840132311725575
2,"[6, 21, 2, 72]",538.212112903595,0.7383999824523926,0.2703817517172684,0.6163343074856056
2,"[10, 19, 2, 265]",622.9015648365021,0.7184000015258789,0.25708381350922394,0.40192916438093806
2,"[6, 23, 3, 83]",627.3838729858398,0.7692000269889832,0.2749565172278503,0.6900941068335412
2,"[8, 26, 2, 183]",604.0241231918335,0.8047999739646912,0.28938664689652077,0.9227537844637602
2,"[10, 14, 2, 72]",558.0086381435394,0.6872000098228455,0.25019652344011556,0.2908840993664807
2,"[3, 19, 2, 72]",513.4747459888458,0.7289000153541565,0.2689152857779161,0.5926902030638582
2,"[7, 25, 2, 73]",658.7725160121918,0.7947999835014343,0.2819704052988772,0.8031803350940183
2,"[9, 14, 3, 316]",556.109757900238,0.7264000177383423,0.26461112696840233,0.5232934461334673
2,"[10, 30, 1, 274]",586.3045930862427,0.7770000100135803,0.28069559293544216,0.782626297096719
3,"[8, 19, 2, 232]",355.4803469181061,0.766700029373169,0.30057054331043515,0.8483226788333755
3,"[3, 19, 2, 153]",292.849417924881,0.7246000170707703,0.293759419601924,0.708286004525153
3,"[8, 26, 2, 154]",405.79584097862244,0.7623000144958496,0.29225848091938855,0.6774267116334122
3,"[8, 10, 1, 154]",285.3027331829071,0.6622999906539917,0.2697423494035869,0.2144951439951184
3,"[9, 14, 3, 316]",394.01727986335754,0.6783999800682068,0.2613739122650477,0.04244011222788494
3,"[7, 23, 1, 316]",343.6717140674591,0.781000018119812,0.30794784645866335,1.0
3,"[10, 30, 1, 316]",458.9789807796478,0.7742999792098999,0.29089415976343713,0.6493762745037731
3,"[6, 21, 3, 316]",421.81025099754333,0.7396000027656555,0.2817398105152462,0.46116289312432207
3,"[8, 24, 2, 265]",398.8228979110718,0.7702999711036682,0.29618035588588815,0.7580604441664137
3,"[10, 26, 2, 183]",466.02028489112854,0.7577999830245972,0.28398988678591985,0.5074244516232882
3,"[7, 21, 3, 64]",438.2713348865509,0.7315999865531921,0.27693835778724646,0.3624450455778116
3,"[3, 19, 2, 73]",313.10020184516907,0.6937000155448914,0.27795994881089575,0.38344895265355766
3,"[9, 14, 3, 64]",412.9549329280853,0.6937000155448914,0.26518571451387096,0.12081075015636493
3,"[7, 24, 2, 265]",402.2864601612091,0.7734000086784363,0.29694355623770996,0.7737518401348117
3,"[7, 30, 1, 64]",409.83837389945984,0.796999990940094,0.30505861638996096,0.9405974421479357
3,"[7, 23, 3, 64]",468.6478340625763,0.701200008392334,0.26253847924640156,0.06638360438236952
3,"[6, 24, 2, 265]",405.94193267822266,0.6764000058174133,0.2593097040423432,0.0
3,"[6, 23, 2, 265]",408.96342730522156,0.7878999710083008,0.30168268009829563,0.8711882064339386
3,"[3, 24, 2, 316]",380.12068915367126,0.7350000143051147,0.28489239383306936,0.5259799926516535
3,"[10, 30, 1, 154]",490.5690941810608,0.7940000295639038,0.29509048768175883,0.7356527585520959
4,"[7, 30, 1, 316]",422.7080738544464,0.8203999996185303,0.3124094948893971,1.0922462497861174
4,"[3, 30, 1, 64]",337.2423770427704,0.7366999983787537,0.2914228083828766,0.6196838475638794
4,"[10, 30, 1, 64]",497.4216811656952,0.7946000099182129,0.2946537355788022,0.6924354330339051
4,"[7, 30, 1, 64]",424.1567440032959,0.8101000189781189,0.30831280180387105,1.0
4,"[3, 24, 2, 308]",393.1152083873749,0.6847000122070312,0.263902399266915,0.0
4,"[8, 30, 1, 64]",449.6501820087433,0.7800999879837036,0.294058353512847,0.6790290680395826
4,"[7, 23, 3, 265]",482.10830211639404,0.7706999778747559,0.28723758492904694,0.5254441376142358
4,"[7, 24, 2, 316]",425.4506480693817,0.8001999855041504,0.3043917424741922,0.9117085388628049
4,"[6, 23, 2, 265]",426.7857439517975,0.7718999981880188,0.29347467552912065,0.6658862467548482
4,"[3, 19, 1, 64]",308.62151288986206,0.7333999872207642,0.2946060375014953,0.691361403649298
4,"[7, 24, 2, 183]",430.57454466819763,0.786300003528595,0.29851388385938027,0.7793553450379869
4,"[3, 24, 2, 153]",357.40110993385315,0.6777999997138977,0.2654753673819947,0.035418911453701254
4,"[8, 24, 2, 316]",446.8386218547821,0.7756999731063843,0.292700325316405,0.6484500118080634
4,"[6, 19, 2, 265]",418.6485800743103,0.7681000232696533,0.29296112815238845,0.6543225736648587
4,"[8, 26, 2, 183]",477.95744276046753,0.7231000065803528,0.2698749397057754,0.13448516783630543
4,"[3, 19, 2, 153]",373.0600891113281,0.7378000020980835,0.28688315070985493,0.5174632547817266
4,"[10, 26, 2, 316]",530.4120650291443,0.7519000172615051,0.2759657641200654,0.2716337651547268
4,"[3, 30, 1, 64]",370.63308095932007,0.7192999720573425,0.2799982879023096,0.3624350988937874
4,"[10, 26, 2, 64]",540.7272822856903,0.7545999884605408,0.2761090321605195,0.27485976699821146
4,"[3, 24, 2, 153]",403.702627658844,0.7279000282287598,0.279310371971645,0.34694512601880306
